state,data_source,has_placer_data,match_score,match_type,match_details,regulator_name,regulator_address,regulator_city,regulator_zip,regulator_county,placer_name,placer_address,placer_city,placer_zip,latitude,longitude,visits,sq_ft,visits_per_sq_ft,chain_name,chain_id,dispensary_id,census_state_fips,census_county_fips,census_tract_fips,census_geoid,census_tract_name,total_population,median_age,median_household_income,per_capita_income,total_pop_25_plus,bachelors_degree,masters_degree,professional_degree,doctorate_degree,pop_1mi,pop_3mi,pop_5mi,pop_10mi,pop_20mi,pct_bachelor_plus,population_density,census_tract_error,census_data_complete,census_api_error,census_collection_date
FL,regulator_with_placer,True,83.0,fuzzy,addr:78|city:85|zip:100,Trulieve,5422 US Hwy 19,Port Richey,34652,Pasco,Trulieve New Port Richey Dispensary,5422 US-19,New Port Richey,34652.0,28.23809051513672,-82.72710418701172,76750.0,6502.25337828994,11.803600311279297,,,FL_0170,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
FL,regulator_with_placer,True,93.0,fuzzy,addr:90|city:96|zip:100,MUV,120 SW Chamber Court,Port St. Lucie,34986,St. Lucie,MUV Dispensary,120 Chamber Ct,Port St Lucie,34986.0,27.310646057128903,-80.40245056152344,76353.0,6303.809495044393,12.112199783325195,MUV Dispensary,61ed5a32850f00528249a419,FL_0171,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
FL,regulator_with_placer,True,100.0,exact,addr:100|city:100|zip:100,Jungle Boys,11401 University Boulevard,Orlando,32817,Orange,Jungle Boys,11401 University Blvd,Orlando,32817.0,28.598194122314453,-81.22225189208984,76048.0,5194.287037678169,14.640700340270996,Jungle Boys,64c412fc7284183da26680b9,FL_0172,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
FL,regulator_with_placer,True,100.0,exact,addr:100|city:100|zip:100,Trulieve,638 Oakfield Drive,Brandon,33511,Hillsborough,Trulieve,638 Oakfield Dr,Brandon,33511.0,27.935117721557617,-82.29267120361328,75767.0,3440.9045382413883,22.019500732421875,Trulieve,600018e779364106f1345643,FL_0173,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
FL,regulator_with_placer,True,100.0,exact,addr:100|city:100|zip:100,Ayr Cannabis Dispensary,3701 W Lake Mary Boulevard,Lake Mary,32746,Seminole,AYR Cannabis Dispensary Lake Mary,3701 W Lake Mary Blvd,Lake Mary,32746.0,28.75575065612793,-81.34297180175781,75643.0,5448.488539428804,13.883299827575684,Ayr Wellness,61aca58b2812db3a0e8bd64e,FL_0174,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
FL,regulator_with_placer,True,100.0,exact,addr:100|city:100|zip:100,Sunnyside*,8307 Lockwood Ridge Road,Sarasota,34243,Sarasota,Sunnyside,8307 Lockwood Ridge Rd,Sarasota,34243.0,27.39158058166504,-82.50498962402344,75057.0,9339.62986935929,8.036399841308594,Sunnyside,61ed699b873a701e0aea037b,FL_0175,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
FL,regulator_with_placer,True,100.0,exact,addr:100|city:100|zip:100,Cookies Florida,1345 Lee Road,Orlando,32810,Orange,Cookies Dispensary,1345 Lee Rd,Orlando,32810.0,28.60614013671875,-81.40142822265625,74931.0,4872.51525836765,15.378299713134766,Cookies Dispensary,64d39f6b7ca74a06fd94e33d,FL_0176,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
FL,regulator_with_placer,True,100.0,exact,addr:100|city:100|zip:100,Curaleaf,4227 Manatee Avenue E,Bradenton,34208,Manatee,Curaleaf,4227 Manatee Ave E,Bradenton,34208.0,27.499290466308594,-82.50931549072266,74907.0,3810.8197536973776,19.656400680541992,Curaleaf,60a391b56b7a694c7c956ebe,FL_0177,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
FL,regulator_with_placer,True,100.0,exact,addr:100|city:100|zip:100,Sunburn,11049 Hutchison Boulevard,Panama City Beach,32407,Bay,Sunburn Cannabis,11049 Hutchison Blvd,Panama City Beach,32407.0,30.185253143310547,-85.81197357177734,74663.0,1681.0803834305966,44.413700103759766,Sunburn Cannabis,64d2a23184b2d019c221dc00,FL_0178,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
FL,regulator_with_placer,True,100.0,exact,addr:100|city:100|zip:100,Sunnyside*,8717 SW 24th Street,Miami,33165,Miami-Dade,Sunnyside,8717 SW 24th St,Miami,33165.0,25.74815559387207,-80.33679962158203,74515.0,7032.30443560581,10.596099853515623,Sunnyside,61ed699b873a701e0aea037b,FL_0179,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
