census_geoid,latitude,longitude
12101030412,28.1810794,-82.7524865
42125752700,40.1535669,-80.2534098
12081000805,27.4195806,-82.5288643
42101018001,39.9810569,-75.1128
12127091021,28.9739535,-81.1987591
12093910202,27.2613205,-80.8798465
12089050201,30.5443353,-81.4539895
12081001801,27.51267,-82.7124266
12103025510,27.9333505,-82.7814629
12069030805,28.7801186,-81.7738083
12086010710,25.5313216,-80.3986836
12086000132,25.9409014,-80.1447582
12085001804,27.0982641,-80.4996126
42081011400,41.2008675,-77.0585728
12095014705,28.508933,-81.4672434
12103023400,27.7815883,-82.6538601
12099005807,26.5800186,-80.075625
12095017703,28.6808037,-81.5032071
42077006703,40.5696516,-75.5167088
42003471000,40.391467,-80.0921791
12011050502,26.1922673,-80.1422961
12057003200,27.9696227,-82.4470814
42091204002,40.1084993,-75.3091648
12086009602,25.9467009,-80.1932388
12103027108,28.0162733,-82.7892649
12033003204,30.4781819,-87.2931767
12103025019,27.8129034,-82.7531604
42091200505,40.2149229,-75.1895292
12011043301,26.0961696,-80.1528255
42011002500,40.3334409,-75.934571
12069030702,28.8066087,-81.8245138
42101016701,39.9911989,-75.1619033
42011011603,40.2754231,-75.9327943
12011091500,25.9916696,-80.2159694
42003473602,40.3719637,-80.0693023
42101000200,39.9554162,-75.1569255
42001031000,39.8156325,-77.013614
42119090400,40.8957039,-76.9933053
12071050305,26.3613812,-81.8319358
12095016510,28.5913457,-81.2150492
12099005000,26.6020456,-80.0800624
42045406903,39.8635517,-75.4389556
12011100501,25.9927793,-80.1735892
12031015400,30.3346297,-81.5959038
12099003000,26.6945787,-80.089771
12035060211,29.5338114,-81.2378066
42013100400,40.5109653,-78.4160102
12009065022,28.0642764,-80.6459155
42029305300,39.9858724,-75.8503627
42045401401,39.9390478,-75.299461
12095016812,28.36006,-81.3576678
42045409100,39.9813908,-75.3018885
12086007503,25.7147827,-80.2724794
42107000300,40.8545015,-76.014725
42071011901,40.1192509,-76.3274118
42041011607,40.186072,-76.972439
42091208303,40.2814778,-75.5647329
42003521200,40.4257074,-79.7965493
12031010106,30.4830518,-81.5636123
12117022106,28.6507695,-81.2933948
42017104601,40.2898071,-75.1073136
12099006301,26.500115,-80.0610553
12086008425,25.679181,-80.3719761
42077006702,40.5680163,-75.4414257
12071080100,26.6042723,-82.2180194
12113010302,30.67896,-87.2246608
12057011613,28.002722,-82.5727485
12085000800,27.1998189,-80.2414127
12086010706,25.4983203,-80.3565897
42045407803,39.9255587,-75.325449
12099006402,26.4342793,-80.0677787
12101031903,28.2844397,-82.5012677
42101028500,40.0288851,-75.1337095
12086005405,25.7761666,-80.2322071
42129804901,40.2372727,-79.6312397
12057011712,27.9854582,-82.5768776
12103025420,27.9651959,-82.6623751
12086006501,25.7542119,-80.2343319
12117020602,28.7889506,-81.3338126
12071050105,26.5028479,-81.86479
12103026200,27.976816,-82.7913363
42011000100,40.3352705,-75.9249687
42075002200,40.4332441,-76.4744666
42091200901,40.2488201,-75.2795332
