USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
FL	12009062114	3307586	3946899	1.277	1.524	28.4435977	-80.7613996                                                                                                                                       
FL	12009062115	9044820	0	3.492	0.	28.3956841	-80.8032482                                                                                                                                                
FL	12009062301	2682012	14427	1.036	0.006	28.3668822	-80.745015                                                                                                                                          
FL	12009062302	2831785	0	1.093	0.	28.3833966	-80.7492823                                                                                                                                                
FL	12009062401	6137868	332858	2.37	0.129	28.3827445	-80.7790023                                                                                                                                         
FL	12009062402	5882533	2843	2.271	0.001	28.3685732	-80.7686433                                                                                                                                          
FL	12009062500	21207046	5726898	8.188	2.211	28.3518753	-80.8101474                                                                                                                                      
FL	12009062600	2561989	0	0.989	0.	28.3545721	-80.7441807                                                                                                                                                
FL	12009062800	7202507	9090694	2.781	3.51	28.2679338	-80.6893695                                                                                                                                        
FL	12009062900	9549888	0	3.687	0.	28.3391318	-80.7526983                                                                                                                                                
FL	12009063000	7994157	31290	3.087	0.012	28.3145	-80.7514117                                                                                                                                            
FL	12009063102	12555870	193467	4.848	0.075	28.2753586	-80.7117101                                                                                                                                       
FL	12009063104	6579547	0	2.54	0.	28.305659	-80.719499                                                                                                                                                   
FL	12009063105	5981358	0	2.309	0.	28.3162072	-80.7328158                                                                                                                                                
FL	12009063106	3203359	82791	1.237	0.032	28.2506264	-80.7229214                                                                                                                                         
FL	12009063108	6265650	199079	2.419	0.077	28.2531731	-80.7049927                                                                                                                                        
FL	12009063109	5335511	50514	2.06	0.02	28.2393391	-80.6931619                                                                                                                                           
FL	12009064102	7523208	0	2.905	0.	28.173752	-80.6844679                                                                                                                                                 
FL	12009064123	3455909	66889	1.334	0.026	28.1499332	-80.6591329                                                                                                                                         
FL	12009064124	5175202	0	1.998	0.	28.1672261	-80.6602769                                                                                                                                                
FL	12009064126	7247104	6712	2.798	0.003	28.1614974	-80.6944725                                                                                                                                          
FL	12009064127	11466448	5893972	4.427	2.276	28.2031705	-80.6669344                                                                                                                                      
FL	12009064128	13432742	421164	5.186	0.163	28.210902	-80.695965                                                                                                                                         
FL	12009064129	4441121	0	1.715	0.	28.1402152	-80.6899345                                                                                                                                                
FL	12009064130	3549259	0	1.37	0.	28.1291012	-80.6904423                                                                                                                                                 
FL	12009064201	2719082	3340850	1.05	1.29	28.1166945	-80.6212083                                                                                                                                         
FL	12009064202	2818366	5097907	1.088	1.968	28.1595922	-80.641728                                                                                                                                        
FL	12009064301	3880911	0	1.498	0.	28.1394619	-80.6580825                                                                                                                                                
FL	12009064302	3904014	139785	1.507	0.054	28.1317706	-80.6434014                                                                                                                                        
FL	12009064400	2880671	0	1.112	0.	28.1177219	-80.6555996                                                                                                                                                
FL	12009064500	2285183	24212	0.882	0.009	28.1268431	-80.6642837                                                                                                                                         
FL	12009064601	11023451	22584	4.256	0.009	28.086462	-80.6837245                                                                                                                                         
FL	12009064602	9303548	215381	3.592	0.083	28.1139733	-80.6828024                                                                                                                                        
FL	12009064701	2864207	0	1.106	0.	28.0820678	-80.6336818                                                                                                                                                
FL	12009064702	13862559	0	5.352	0.	28.0999585	-80.6422993                                                                                                                                               
FL	12009064800	2766706	3958832	1.068	1.529	28.0899726	-80.6090795                                                                                                                                       
FL	12009064901	5288372	5144	2.042	0.002	28.0629888	-80.6299536                                                                                                                                          
FL	12009064902	3446338	1769004	1.331	0.683	28.0699625	-80.6031366                                                                                                                                       
